YEAR,metANN
1917,9.91
1918,10.39
1919,9.6
1920,9.43
1921,9.8
1922,9.38
1923,10.39
1924,9.77
1925,10.12
1926,10.11
1927,10.68
1928,9.32
1929,9.03
1930,10.91
1931,9.82
1932,9.37
1933,8.55
1934,9.7
1935,9.78
1936,11.08
1937,10.66
1938,10.96
1939,10.22
1940,8.62
1941,8.68
1942,8.16
1943,9.46
1944,9.79
1945,10.12
1946,10.6
1947,9.7
1948,10.63
1949,9.33
1950,11.01
1951,11.3
1952,10.9
1953,9.93
1954,8.56
1955,9.72
1956,8.88
1957,10.43
1958,10.2
1959,9.72
1960,10.61
1961,10.67
1962,9.99
1963,9.12
1964,9.18
1965,9.15
1966,10.88
1967,9.8
1968,10.4
1969,8.55
1970,9.68
1971,9.58
1972,10.13
1973,9.53
1974,9.82
1975,10.88
1976,-
1977,10.77
1978,9.37
1979,9.94
1980,-
1981,9.95
1982,9.97
1983,10.93
1984,10.01
1985,9.07
1986,10.72
1987,9.65
1988,10.42
1989,11.12
1990,11.07
1991,9.88
1992,10.21
1993,8.74
1994,12.06
1995,10.77
1996,10.18
1997,9.61
1998,10.9
1999,10.64
2000,11.43
2001,11.14
2002,10.85
2003,9.81
2004,9.99
2005,10
2006,10.45
2007,12.01
2008,11.18
2009,11.09
2010,10.91
2011,10.19
2012,11.82
2013,11.57
2014,11.18
2015,11.7
2016,11.8
,,
